scenario,policy,review_rate,tp,fp,effective_review_count,avoided_loss,review_cost_total,friction_cost_total,operating_cost_total,net_benefit,net_benefit_per_effective_review
Base,Top 20%,0.2,81176,10607,293316.0,8117.6,2933.16,1060.7,3993.8599999999997,4123.740000000001,0.014059035306631757
Base,Top 21%,0.21,84257,12115,326557.0,8425.7,3265.57,1211.5,4477.07,3948.630000000001,0.012091702214314808
Base,Top 22%,0.22,87231,13730,361831.0,8723.1,3618.31,1373.0,4991.3099999999995,3731.790000000001,0.01031362708004566
Base,Top 23%,0.23,89941,15609,402121.0,8994.1,4021.21,1560.9,5582.110000000001,3411.9900000000002,0.008484983375650613
Base,Top 24%,0.24,92633,17507,442773.0,9263.300000000001,4427.7300000000005,1750.7,6178.43,3084.870000000001,0.006967159244127353
Base,Top 25%,0.25,95101,19628,487661.0,9510.1,4876.61,1962.8,6839.41,2670.6900000000005,0.005476529802465238
Base,Top 26%,0.26,97415,21903,535475.0,9741.5,5354.75,2190.3,7545.05,2196.45,0.0041018721695690735
Base,Top 27%,0.27,99597,24310,585797.0,9959.7,5857.97,2431.0,8288.970000000001,1670.7300000000005,0.0028520630867006837
Base,Top 28%,0.28,101611,26885,639311.0,10161.1,6393.110000000001,2688.5,9081.61,1079.4899999999998,0.0016885209233064968
Base,Top 28%,0.29,103449,29636,696169.0,10344.900000000001,6961.6900000000005,2963.6,9925.29,419.61000000000104,0.0006027415756806192
Base,Top 30%,0.3,105116,32558,756276.0,10511.6,7562.76,3255.8,10818.560000000001,-306.96000000000004,-0.0004058835663170589
Conservative,Top 1%,0.01,4589,1,4609.0,137.67000000000002,92.18,0.2,92.38000000000001,45.290000000000006,0.00982642655673682
Conservative,Top 2%,0.02,9163,16,9483.0,274.89000000000004,189.66,3.2,192.85999999999999,82.03000000000004,0.008650216176315517
Conservative,Top 3%,0.03,13723,45,14623.0,411.69,292.46,9.0,301.46,110.23000000000002,0.007538124871777338
Conservative,Top 4%,0.04,18245,112,20485.0,547.35,409.7,22.400000000000002,432.09999999999997,115.25000000000003,0.005626067854527705
Conservative,Top 5%,0.05,22742,204,26822.0,682.26,536.44,40.800000000000004,577.24,105.01999999999992,0.003915442547162774
Conservative,Top 6%,0.06,27184,351,34204.0,815.52,684.08,70.2,754.2800000000001,61.23999999999994,0.00179043386738393
Conservative,Top 7%,0.07,31568,556,42688.0,947.04,853.76,111.2,964.96,-17.92000000000003,-0.0004197901049475269
Conservative,Top 8%,0.08,35880,834,52560.0,1076.4,1051.2,166.8,1218.0,-141.59999999999997,-0.0026940639269406384
Conservative,Top 9%,0.09,40133,1170,63533.0,1203.99,1270.66,234.0,1504.66,-300.6700000000001,-0.00473250121983851
Conservative,Top 10%,0.1,44326,1566,75646.0,1329.78,1512.92,313.2,1826.1200000000001,-496.3400000000001,-0.0065613515585754715
Conservative,Top 11%,0.11,48454,2027,88994.0,1453.62,1779.88,405.40000000000003,2185.28,-731.6600000000003,-0.008221453131671802
Conservative,Top 12%,0.12,52473,2597,104413.0,1574.19,2088.26,519.4,2607.6600000000003,-1033.4700000000003,-0.009897905433231496
Conservative,Top 13%,0.13,56366,3293,122226.0,1690.98,2444.52,658.6,3103.12,-1412.1399999999999,-0.011553515618608151
Conservative,Top 14%,0.14,60244,4004,140324.0,1807.3200000000002,2806.48,800.8000000000001,3607.28,-1799.96,-0.012827171403323737
