policy,review_rate,review_count,tp,fp,weighted_fp,precision,weighted_precision,capture_rate,weighted_lift
Top 1%,0.01,4590,4589,1,20,0.9997821350762527,0.9956606639184205,0.03861884404349143,57.98715372762327
Top 5%,0.05,22946,22742,204,4080,0.9911095615793603,0.8478860636790694,0.19138586865048643,49.380779315487786
Top 10%,0.1,45892,44326,1566,31320,0.9658764054737209,0.5859662110356133,0.37302655939677515,34.126599543254706
Top 15%,0.15,68837,63994,4843,96860,0.9296453941920769,0.3978390341551966,0.5385431043188474,23.170096066280628
Top 20%,0.2,91783,81176,10607,212140,0.884433936567774,0.27675271720601674,0.6831386541892484,16.118043966912854
