policy,review_rate,review_count,tp,fp,precision,capture_rate,lift,missed_default
Top 1%,0.01,4590,4589,1,0.9997821350762527,0.03861884404349143,3.8611524131875345,114239
Top 5%,0.05,22946,22742,204,0.9911095615793603,0.19138586865048643,3.8276589880589507,96086
Top 10%,0.1,45892,44326,1566,0.9658764054737209,0.37302655939677515,3.730208695468759,74502
Top 15%,0.15,68837,63994,4843,0.9296453941920769,0.5385431043188474,3.590284754307643,54834
Top 20%,0.2,91783,81176,10607,0.884433936567774,0.6831386541892484,3.415678384994504,37652
